gender,age,married,number_of_dependents,latitude,longitude,number_of_referrals,tenure_in_months,offer,phone_service,avg_monthly_long_distance_charges,multiple_lines,internet_service,internet_type,avg_monthly_gb_download,online_security,online_backup,device_protection_plan,premium_tech_support,streaming_tv,streaming_movies,streaming_music,unlimited_data,contract,paperless_billing,payment_method,monthly_charge,total_charges,has_refunded,has_extra_data_charges,total_long_distance_charges,total_revenue,customer_status
Female,"(55, 65]",Yes,1+,36.464635,-119.094348,2+,71,Offer A,Yes,27.26,Yes,Yes,Fiber Optic,12.0,No,Yes,Yes,No,No,Yes,Yes,Yes,Two Year,Yes,Credit Card,95.75,6849.4,No,No,1935.46,8784.86,Stayed
Female,"(45, 55]",Yes,1+,38.060264,-122.830646,0,34,Offer C,No,25.584371102988605,No,Yes,DSL,20.0,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,One Year,No,Credit Card,61.25,1993.2,No,No,0.0,1993.2,Stayed
Male,"(65, 100]",No,0,37.680844,-122.48131,0,45,Offer B,Yes,10.67,No,Yes,DSL,17.0,Yes,No,Yes,No,No,Yes,No,Yes,One Year,No,Credit Card,62.7,2791.5,No,No,480.15,3271.65,Churned
Male,"(65, 100]",No,0,37.161544,-121.649371,0,1,Offer E,No,25.584371102988605,No,Yes,Cable,9.0,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,25.1,25.1,No,No,0.0,25.1,Churned
Female,"(65, 100]",Yes,0,37.375816,-119.739935,0,50,Offer B,Yes,31.43,Yes,No,No Internet,0.0,No,No,No,No,No,No,No,No,One Year,No,Bank Withdrawal,25.2,1306.3,No,No,1571.5,2877.8,Stayed
Female,"(25, 35]",Yes,0,39.227434,-120.091806,1,13,Offer D,Yes,43.56,Yes,Yes,Fiber Optic,52.0,No,Yes,Yes,No,Yes,No,No,Yes,Month-to-Month,No,Bank Withdrawal,94.1,1215.6,No,No,566.28,1781.88,Churned
Female,"(25, 35]",Yes,1+,35.869626,-119.498771,1,23,Offer D,Yes,34.91,Yes,Yes,Fiber Optic,30.0,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,83.75,1849.95,No,No,802.93,2652.88,Stayed
Female,"(25, 35]",Yes,0,40.7666,-123.80458,0,4,Offer E,Yes,12.43,No,No,No Internet,0.0,No,No,No,No,No,No,No,No,Month-to-Month,No,Credit Card,20.35,76.35,No,No,49.72,126.07,Churned
Female,"(35, 45]",Yes,1+,33.309852,-116.823091,1,1,Offer E,No,25.584371102988605,No,Yes,DSL,19.0,Yes,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,30.5,30.5,No,No,0.0,30.5,Churned
Female,"(35, 45]",Yes,1+,36.622237,-119.521126,2+,55,Offer B,Yes,35.04,No,Yes,Fiber Optic,57.0,No,Yes,Yes,Yes,Yes,Yes,Yes,No,One Year,Yes,Bank Withdrawal,103.7,5656.75,No,Yes,1927.2,7603.95,Stayed
Male,"(35, 45]",Yes,1+,37.612612,-121.108568,2+,54,Offer B,Yes,19.7,No,No,No Internet,0.0,No,No,No,No,No,No,No,No,Two Year,No,Credit Card,20.4,1090.6,No,No,1063.8,2154.4,Stayed
Male,"(55, 65]",No,0,38.368744,-122.522642,0,26,Offer C,Yes,37.7,No,No,No Internet,0.0,No,No,No,No,No,No,No,No,One Year,Yes,Bank Withdrawal,19.6,471.85,Yes,No,980.2,1430.8,Stayed
Female,"(45, 55]",Yes,1+,40.737431,-124.108897,2+,69,Offer A,Yes,38.39,No,No,No Internet,0.0,No,No,No,No,No,No,No,No,Two Year,No,Bank Withdrawal,19.7,1396.9,No,No,2648.91,4045.81,Stayed
Male,"(18, 25]",Yes,1+,37.515556,-122.502311,1,37,Offer C,Yes,43.01,No,Yes,Fiber Optic,51.0,No,No,No,No,Yes,Yes,Yes,Yes,One Year,No,Credit Card,91.2,3247.55,No,No,1591.37,4838.92,Stayed
Female,"(45, 55]",Yes,0,34.001617,-118.222274,2+,49,Offer B,Yes,49.58,No,No,No Internet,0.0,No,No,No,No,No,No,No,No,One Year,No,Bank Withdrawal,20.45,900.9,No,No,2429.42,3330.32,Stayed
Male,"(25, 35]",Yes,0,34.044271,-118.185237,2+,66,Offer A,Yes,43.77,Yes,Yes,Fiber Optic,41.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One Year,No,Bank Withdrawal,-2.0,7942.15,No,No,2888.82,10830.97,Stayed
Female,"(25, 35]",No,0,32.690654,-115.431225,0,67,Offer A,Yes,23.12,No,No,No Internet,0.0,No,No,No,No,No,No,No,No,One Year,No,Bank Withdrawal,20.55,1343.4,Yes,No,1549.04,2861.91,Stayed
Male,"(25, 35]",Yes,1+,40.677649,-122.29467,2+,20,Offer D,No,25.584371102988605,No,Yes,Cable,22.0,Yes,No,Yes,Yes,No,No,No,Yes,Two Year,Yes,Credit Card,39.4,825.4,No,No,0.0,825.4,Stayed
Female,"(25, 35]",No,1+,37.084697,-121.606417,0,43,Offer B,Yes,30.64,Yes,No,No Internet,0.0,No,No,No,No,No,No,No,No,Two Year,Yes,Bank Withdrawal,25.1,1070.15,No,No,1317.52,2387.67,Stayed
Female,"(35, 45]",Yes,0,38.044523,-121.348048,2+,55,Offer B,Yes,5.08,Yes,Yes,Fiber Optic,9.0,Yes,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,89.8,4959.6,No,No,279.4,5239.0,Stayed
Female,"(55, 65]",Yes,0,33.964131,-118.272783,2+,59,Offer B,Yes,16.39,Yes,Yes,Fiber Optic,14.0,Yes,Yes,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,94.75,5597.65,No,No,967.01,6564.66,Stayed
Female,"(45, 55]",Yes,1+,33.97803,-118.217141,2+,12,Offer D,Yes,19.28,No,No,No Internet,0.0,No,No,No,No,No,No,No,No,Two Year,No,Bank Withdrawal,20.3,224.5,No,No,231.36,455.86,Stayed
Male,"(55, 65]",Yes,1+,35.013299,-116.834092,2+,27,Offer C,Yes,25.26,Yes,Yes,Fiber Optic,23.0,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,75.75,1929.0,No,No,682.02,2611.02,Stayed
Male,"(65, 100]",No,0,32.961064,-117.134917,0,2,Offer E,Yes,43.99,No,Yes,DSL,27.0,Yes,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,49.25,91.1,No,No,87.98,179.08,Churned
Female,"(18, 25]",No,0,37.516791,-121.899117,0,27,Offer C,Yes,48.91,No,Yes,DSL,59.0,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One Year,No,Credit Card,78.2,2078.95,No,No,1320.57,3399.52,Stayed
Male,"(25, 35]",Yes,1+,38.439696,-122.668817,1,25,Offer C,Yes,23.69,Yes,No,No Internet,0.0,No,No,No,No,No,No,No,No,Two Year,No,Credit Card,25.5,630.6,Yes,No,592.25,1178.43,Stayed
Male,"(45, 55]",Yes,0,37.327069,-121.916819,2+,25,Offer C,Yes,6.45,No,Yes,Cable,19.0,Yes,Yes,Yes,No,No,No,No,Yes,One Year,Yes,Bank Withdrawal,61.6,1611.0,Yes,No,161.25,1727.35,Stayed
Male,"(55, 65]",No,1+,34.296574,-118.244839,0,29,Offer C,No,25.584371102988605,No,Yes,DSL,21.0,Yes,Yes,Yes,Yes,No,No,No,Yes,Month-to-Month,Yes,Credit Card,45.0,1242.45,Yes,No,0.0,1230.19,Stayed
Male,"(18, 25]",Yes,0,36.391777,-119.372842,2+,72,Offer A,Yes,32.36,Yes,Yes,DSL,52.0,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,85.15,6316.2,No,No,2329.92,8646.12,Stayed
Female,"(55, 65]",No,0,38.123544,-121.159078,0,14,Offer D,Yes,24.04,No,Yes,Cable,12.0,No,Yes,No,No,No,No,No,Yes,One Year,No,Credit Card,51.45,727.85,No,No,336.56,1064.41,Stayed
Female,"(35, 45]",No,0,37.654551,-119.822984,0,35,Offer C,Yes,36.42,No,Yes,Fiber Optic,2.0,No,No,Yes,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,99.25,3532.0,No,No,1274.7,4806.7,Stayed
Male,"(45, 55]",No,0,37.956963,-120.863055,0,29,Offer C,Yes,2.05,No,Yes,Fiber Optic,17.0,No,No,No,Yes,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,94.2,2607.6,No,Yes,59.45,2687.05,Stayed
Male,"(18, 25]",No,0,41.813521,-121.492666,0,64,Offer B,Yes,5.49,Yes,Yes,DSL,69.0,Yes,Yes,Yes,Yes,Yes,No,No,No,One Year,No,Bank Withdrawal,81.25,5567.55,No,Yes,351.36,5958.91,Stayed
Female,"(25, 35]",Yes,1+,38.42528,-119.475741,1,39,Offer C,Yes,24.38,Yes,Yes,Fiber Optic,53.0,No,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,99.95,3767.4,No,No,950.82,4718.22,Stayed
Female,"(65, 100]",No,0,34.581308,-118.931948,0,40,Offer B,Yes,44.14,No,Yes,Fiber Optic,23.0,No,No,No,No,Yes,Yes,No,Yes,Two Year,Yes,Bank Withdrawal,91.55,3673.6,No,No,1765.6,5439.2,Stayed
Male,"(45, 55]",No,0,33.832799,-116.250973,0,40,Offer B,Yes,37.69,Yes,Yes,Fiber Optic,15.0,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,104.5,4036.85,No,No,1507.6,5544.45,Churned
Female,"(65, 100]",No,1+,34.207295,-118.400022,0,11,Offer D,Yes,11.59,No,Yes,Fiber Optic,29.0,No,Yes,No,No,Yes,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,95.0,1120.3,No,Yes,127.49,1367.79,Churned
Female,"(25, 35]",Yes,0,38.099323,-122.945723,2+,6,Offer E,Yes,42.66,Yes,Yes,Cable,85.0,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,50.35,314.55,No,No,255.96,570.51,Stayed
Male,"(55, 65]",No,0,38.526941,-122.709096,0,30,Offer C,Yes,2.64,Yes,Yes,DSL,15.0,Yes,No,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Mailed Check,64.5,1888.45,No,No,79.2,1967.65,Stayed
Male,"(25, 35]",No,0,37.387027,-121.897775,0,27,Offer C,Yes,20.66,No,No,No Internet,0.0,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,19.4,529.8,No,No,557.82,1087.62,Stayed
Male,"(65, 100]",Yes,0,33.782068,-118.262263,2+,70,Offer A,Yes,39.49,Yes,Yes,Fiber Optic,28.0,No,Yes,Yes,No,Yes,Yes,No,Yes,One Year,Yes,Bank Withdrawal,104.8,7308.95,Yes,No,2764.3,10067.14,Stayed
Female,"(18, 25]",Yes,0,37.670526,-120.877572,2+,57,Offer B,Yes,8.01,Yes,Yes,Fiber Optic,73.0,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,109.4,6252.7,No,No,456.57,6709.27,Stayed
Male,"(55, 65]",Yes,0,32.697098,-117.116587,2+,58,Offer B,Yes,18.37,No,Yes,DSL,18.0,No,No,Yes,No,No,No,No,Yes,One Year,No,Credit Card,50.3,2878.55,Yes,No,1065.46,3933.78,Stayed
Male,"(18, 25]",No,0,33.753146,-118.367459,0,16,Offer D,Yes,25.71,Yes,Yes,DSL,48.0,No,Yes,Yes,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,71.4,1212.1,No,No,411.36,1623.46,Stayed
Female,"(45, 55]",Yes,0,38.419525,-122.521585,2+,69,Offer A,Yes,38.52,Yes,Yes,Fiber Optic,27.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,116.0,8182.85,No,No,2657.88,10840.73,Stayed
Male,"(25, 35]",No,0,38.41935,-120.469545,0,1,Offer E,Yes,31.77,No,No,No Internet,0.0,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,19.85,19.85,No,No,31.77,51.62,Churned
Male,"(55, 65]",No,0,34.003553,-118.308933,0,1,Offer E,Yes,40.71,Yes,Yes,Fiber Optic,25.0,No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,99.75,99.75,No,No,40.71,140.46,Churned
Male,"(65, 100]",Yes,1+,34.097863,-116.594561,2+,32,Offer C,Yes,31.86,No,Yes,Fiber Optic,23.0,No,Yes,No,No,Yes,Yes,Yes,Yes,One Year,Yes,Mailed Check,93.95,2861.45,No,No,1019.52,3880.97,Stayed
Male,"(45, 55]",Yes,1+,33.3249,-114.758334,2+,16,Offer D,Yes,48.71,Yes,Yes,Fiber Optic,12.0,No,No,Yes,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,90.8,1442.2,No,No,779.36,2221.56,Stayed
Male,"(55, 65]",Yes,0,34.39583,-117.734568,1,49,Offer B,Yes,39.55,Yes,Yes,Cable,10.0,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,One Year,No,Bank Withdrawal,84.35,4059.35,No,No,1937.95,5997.3,Churned
Female,"(35, 45]",Yes,0,35.591387,-121.032256,2+,71,Offer A,No,25.584371102988605,Yes,Yes,Cable,29.0,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,No,Bank Withdrawal,58.25,4145.9,No,No,0.0,4145.9,Stayed
Female,"(35, 45]",No,0,40.923558,-122.059933,0,33,Offer C,Yes,49.69,Yes,Yes,Fiber Optic,12.0,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,107.55,3645.5,No,No,1639.77,5285.27,Stayed
Female,"(18, 25]",Yes,0,41.572813,-124.035011,2+,10,Offer D,Yes,49.6,No,No,No Internet,0.0,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,19.95,187.75,No,No,496.0,683.75,Stayed
Male,"(18, 25]",Yes,0,36.841655,-119.797113,1,21,Offer D,Yes,36.26,Yes,Yes,Fiber Optic,59.0,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,111.2,2317.1,No,Yes,761.46,3198.56,Churned
Male,"(45, 55]",Yes,1+,38.542448,-122.419923,1,37,Offer C,No,25.584371102988605,No,Yes,DSL,23.0,Yes,Yes,Yes,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,40.2,1448.8,No,No,0.0,1448.8,Churned
Female,"(65, 100]",No,0,37.249377,-120.249581,0,26,Offer C,Yes,33.74,No,Yes,Fiber Optic,7.0,Yes,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Credit Card,85.8,2193.65,No,No,877.24,3070.89,Stayed
Male,"(35, 45]",No,0,40.142256,-123.852927,0,50,Offer B,No,25.584371102988605,Yes,Yes,DSL,7.0,Yes,No,No,Yes,No,No,No,Yes,One Year,Yes,Credit Card,35.4,1748.9,No,No,0.0,1748.9,Stayed
Female,"(25, 35]",No,0,32.85723,-117.209774,0,7,Offer E,Yes,28.62,Yes,Yes,Fiber Optic,26.0,No,No,No,No,No,No,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,73.85,511.25,Yes,No,200.34,698.56,Churned
Female,"(55, 65]",Yes,0,34.049172,-118.115022,1,61,Offer B,Yes,47.19,Yes,Yes,DSL,28.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,No,Mailed Check,88.1,5526.75,No,No,2878.59,8405.34,Stayed
Male,"(35, 45]",No,0,37.818589,-120.256995,0,15,Offer D,Yes,45.92,No,Yes,Fiber Optic,12.0,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,101.35,1553.95,No,No,688.8,2242.75,Churned
Female,"(45, 55]",No,1+,34.364153,-118.615583,0,26,Offer C,No,25.584371102988605,No,Yes,DSL,19.0,Yes,No,No,Yes,No,Yes,Yes,Yes,Month-to-Month,No,Credit Card,45.8,1147.0,No,No,0.0,1147.0,Stayed
Male,"(35, 45]",Yes,0,38.671295,-121.388251,2+,72,Offer B,Yes,33.22,No,Yes,Fiber Optic,23.0,No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,94.65,6747.35,No,No,2391.84,9139.19,Stayed
Male,"(55, 65]",Yes,0,34.038983,-117.991372,1,44,Offer B,Yes,27.4,No,No,No Internet,0.0,No,No,No,No,No,No,No,No,One Year,Yes,Bank Withdrawal,20.5,865.05,No,No,1205.6,2070.65,Stayed
Male,"(45, 55]",No,0,39.045246,-122.743181,0,66,Offer A,Yes,48.78,Yes,Yes,Fiber Optic,8.0,No,Yes,No,No,No,Yes,Yes,No,Month-to-Month,No,Credit Card,89.4,5976.9,Yes,Yes,3219.48,9200.36,Stayed
Female,"(35, 45]",No,0,34.074736,-118.145959,0,2,Offer E,Yes,36.81,No,Yes,Fiber Optic,16.0,Yes,Yes,No,Yes,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,86.25,181.65,No,No,73.62,255.27,Churned
Female,"(65, 100]",No,0,34.031529,-118.491156,0,44,Offer B,Yes,7.72,No,Yes,DSL,17.0,No,No,Yes,Yes,Yes,Yes,Yes,Yes,One Year,No,Bank Withdrawal,74.85,3268.05,Yes,No,339.68,3589.82,Stayed
Female,"(55, 65]",No,0,38.123544,-121.159078,0,12,Offer D,Yes,14.38,Yes,Yes,Fiber Optic,6.0,No,Yes,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,89.75,1052.4,No,No,172.56,1224.96,Churned
Male,"(65, 100]",Yes,0,33.973616,-118.24902,1,69,Offer A,Yes,18.41,Yes,Yes,Fiber Optic,17.0,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Two Year,Yes,Bank Withdrawal,109.95,7634.25,No,No,1270.29,8904.54,Stayed
Female,"(18, 25]",No,0,38.287136,-122.02711,0,1,Offer E,Yes,1.23,Yes,Yes,Fiber Optic,69.0,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Mailed Check,80.2,80.2,No,No,1.23,81.43,Churned
Female,"(18, 25]",No,0,37.974498,-121.319568,0,3,Offer E,Yes,25.75,No,No,No Internet,0.0,No,No,No,No,No,No,No,No,Month-to-Month,No,Credit Card,19.85,63.75,No,No,77.25,141.0,Churned
Female,"(65, 100]",No,0,33.362575,-117.299644,0,27,Offer C,Yes,2.97,Yes,Yes,Fiber Optic,4.0,No,Yes,Yes,No,No,No,No,Yes,Two Year,Yes,Bank Withdrawal,86.45,2401.05,No,No,80.19,2481.24,Stayed
Male,"(55, 65]",No,0,35.405722,-117.773354,0,26,Offer C,Yes,13.34,No,No,No Internet,0.0,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,20.3,511.25,No,No,346.84,858.09,Stayed
Female,"(65, 100]",Yes,0,35.453912,-120.69461,2+,39,Offer C,Yes,20.15,Yes,Yes,Fiber Optic,21.0,No,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,101.25,3949.15,No,No,785.85,4735.0,Stayed
Male,"(35, 45]",No,0,37.329725,-120.306399,0,25,Offer C,Yes,34.88,Yes,Yes,Fiber Optic,8.0,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,94.7,2362.1,No,No,872.0,3234.1,Churned
Female,"(35, 45]",No,0,34.312945,-118.858169,0,1,Offer E,Yes,39.81,No,Yes,Fiber Optic,23.0,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Mailed Check,70.9,70.9,No,No,39.81,110.71,Churned
Male,"(45, 55]",Yes,0,34.624399,-120.137875,1,22,Offer D,Yes,27.24,No,Yes,DSL,21.0,Yes,No,No,Yes,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,54.2,1152.7,No,No,599.28,1751.98,Churned
Female,"(55, 65]",No,0,38.629618,-122.593216,0,72,Offer A,Yes,48.37,Yes,Yes,Fiber Optic,5.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,114.9,8496.7,No,No,3482.64,11979.34,Stayed
Female,"(45, 55]",No,0,33.902045,-118.008961,0,24,Offer C,Yes,10.64,No,No,No Internet,0.0,No,No,No,No,No,No,No,No,Two Year,Yes,Bank Withdrawal,19.55,470.2,No,No,255.36,725.56,Stayed
Female,"(25, 35]",Yes,0,34.95703,-117.73045,2+,19,Offer D,Yes,7.84,Yes,Yes,Fiber Optic,16.0,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,86.85,1564.4,No,No,148.96,1713.36,Stayed
Male,"(18, 25]",Yes,1+,33.119028,-117.166036,2+,71,Offer A,Yes,9.2,Yes,No,No Internet,0.0,No,No,No,No,No,No,No,No,Two Year,No,Credit Card,25.35,1847.55,No,No,653.2,2500.75,Stayed
Male,"(65, 100]",Yes,0,33.889605,-115.257009,2+,33,Offer C,Yes,25.15,Yes,Yes,Fiber Optic,20.0,Yes,No,Yes,Yes,Yes,Yes,No,Yes,One Year,Yes,Bank Withdrawal,109.9,3694.7,No,No,829.95,4524.65,Stayed
Male,"(45, 55]",Yes,1+,37.939768,-120.188002,2+,47,Offer B,Yes,1.09,Yes,Yes,Fiber Optic,13.0,No,Yes,No,No,Yes,No,No,Yes,Month-to-Month,No,Bank Withdrawal,87.2,4017.45,No,No,51.23,4068.68,Stayed
Male,"(35, 45]",Yes,1+,32.807867,-117.060993,2+,62,Offer B,Yes,1.76,No,Yes,Fiber Optic,20.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,No,Credit Card,108.15,6825.65,No,No,109.12,6934.77,Stayed
Male,"(18, 25]",No,0,38.912881,-121.082766,0,71,Offer A,Yes,2.88,Yes,Yes,Fiber Optic,48.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,116.3,8309.55,No,No,204.48,8514.03,Stayed
Male,"(65, 100]",Yes,0,36.623632,-119.741322,2+,7,Offer E,Yes,41.97,No,Yes,Fiber Optic,11.0,No,No,No,No,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,89.0,605.45,No,No,293.79,899.24,Stayed
Female,"(55, 65]",Yes,1+,36.657462,-119.595293,2+,27,Offer C,Yes,46.66,No,Yes,Fiber Optic,28.0,Yes,No,No,No,No,No,No,Yes,Month-to-Month,No,Credit Card,74.4,1972.35,No,No,1259.82,3232.17,Stayed
Female,"(25, 35]",No,1+,34.341737,-116.539416,0,25,Offer C,No,25.584371102988605,No,Yes,Cable,75.0,Yes,No,No,Yes,No,No,No,Yes,Two Year,No,Bank Withdrawal,35.05,844.45,No,No,0.0,844.45,Stayed
Male,"(65, 100]",No,0,33.914775,-118.348083,0,30,Offer C,Yes,38.61,No,Yes,DSL,5.0,Yes,Yes,No,No,Yes,Yes,No,Yes,One Year,Yes,Bank Withdrawal,74.75,2111.3,No,No,1158.3,3269.6,Stayed
Female,"(65, 100]",Yes,0,35.059695,-120.604741,1,58,Offer B,Yes,16.94,No,Yes,Fiber Optic,19.0,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Credit Card,105.5,6205.5,No,No,982.52,7188.02,Churned
